Date,Close,High,Low,Open,Volume
04-12-2020,172.3200073,173.3200073,171.5899963,172.7799988,10098600
07-12-2020,174.8899994,175.2899933,172.5099945,172.5599976,10555100
08-12-2020,175.5,175.9299927,174.7200012,175.5099945,6348400
09-12-2020,172.5,174.0399933,171.2400055,173.9199982,10743200
10-12-2020,172.1699982,173.5800018,171.6999969,172.8999939,6564000
11-12-2020,172.4900055,173.3200073,172.1100006,172.25,6084800
14-12-2020,171.5399933,172.5200043,170.9100037,171.9100037,7644400
15-12-2020,173.9400024,173.9799957,173.0599976,173.4299927,6840500
16-12-2020,174.8999939,175.0200043,173.0200043,174.1300049,8174700
17-12-2020,176.7400055,177.8699951,176.5800018,177.1499939,9475800
18-12-2020,176.4400024,176.9799957,176.1000061,176.6499939,6789900
21-12-2020,175.8800049,176.9400024,175.7599945,176.2899933,8168900
22-12-2020,174.4900055,176.3399963,174.3399963,176.1999969,9442400
23-12-2020,175.6499939,176.2100067,175.0599976,175.1000061,6542800
24-12-2020,176.3500061,176.3699951,175.5099945,175.5500031,3695400
28-12-2020,175.7100067,177.9100037,175.6300049,177.2599945,7778700
29-12-2020,176.3500061,176.9700012,175.5700073,176.25,5983700
30-12-2020,177.6999969,177.7200012,176.4400024,176.4400024,5914000
31-12-2020,178.3600006,178.3999939,177.3200073,178.0700073,7540800
04-01-2021,182.3300018,182.3999939,180.9600067,181.9700012,14331400
05-01-2021,182.8699951,183.2100067,181.8200073,182.8699951,12718800
06-01-2021,179.8999939,181.5800018,178.2400055,181.4900055,18453500
07-01-2021,179.4799957,179.9199982,178.8399963,179.6900024,7110200
08-01-2021,173.3399963,176.9900055,171.4799957,176.8300018,24399900
11-01-2021,173,173.6799927,172.0299988,172.1399994,8571400
12-01-2021,174.1199951,174.1799927,172.3200073,173.1300049,9798500
13-01-2021,173.3699951,174.4600067,173.0500031,173.6799927,14110300
14-01-2021,173.2799988,174.2200012,172.6600037,173.4400024,13522700
15-01-2021,171.1300049,173.0700073,170.9799957,172.8399963,16172500
19-01-2021,172.5800018,172.8500061,171.9199982,172.7100067,7485700
20-01-2021,175.3899994,175.4700012,173.8200073,174.3699951,9456000
21-01-2021,175.2799988,175.5099945,174.5099945,175.1100006,7246800
22-01-2021,173.8999939,174.2899933,172.3500061,172.8899994,7269600
25-01-2021,174.0500031,174.9600067,173.1900024,174.8200073,5936800
26-01-2021,173.6199951,174.2599945,173.4199982,173.9799957,4685600
27-01-2021,172.5200043,173.5200043,171.6600037,172.9299927,9036500
28-01-2021,172.6799927,174.7299957,172.0399933,174.2799988,9392400
29-01-2021,172.6100006,175.1600037,172.6100006,174.8699951,11252800
01-02-2021,174.2299957,175.2599945,174.0599976,175.0200043,9105500
02-02-2021,172.1100006,172.5299988,171.5099945,172.4900055,7221700
03-02-2021,171.8500061,172.5899963,171.5,172.3600006,4658100
04-02-2021,168.1499939,168.3999939,167.3399963,168.2899933,13736600
05-02-2021,169.8099976,170.1799927,168.6699982,168.9900055,6538500
08-02-2021,171.5200043,172.3999939,171.4900055,171.9799957,6887500
09-02-2021,172.0800018,173.0299988,171.75,172.5700073,5131800
10-02-2021,172.7100067,173.2200012,172.0099945,173.1499939,6112800
11-02-2021,171.2100067,172.8699951,170.7100067,172.6999969,5994500
12-02-2021,170.6900024,171.6499939,169.8800049,170.2899933,6018900
16-02-2021,168.2400055,170.0700073,167.7299957,168.1399994,14761100
17-02-2021,166.3300018,167.3399963,165.8500061,166.9199982,11400700
18-02-2021,166.3200073,167.3000031,165.7299957,166.9799957,7498200
19-02-2021,167.0099945,167.9400024,166.6000061,166.7599945,8273500
22-02-2021,169.5099945,169.8899994,168.3000031,168.5399933,10072000
23-02-2021,169.1199951,169.7400055,168.2799988,169.4799957,8616800
24-02-2021,169,169.1399994,167.1499939,167.6499939,8890600
25-02-2021,165.8200073,167.6600037,165.4499969,166.9199982,16359400
26-02-2021,161.8099976,165.1000061,160.9499969,165,23730400
01-03-2021,161.5299988,163.3500061,161.1600037,163.0299988,13828300
02-03-2021,162.4100037,162.9299927,161.2200012,161.9299927,11424600
03-03-2021,160.6199951,161.6900024,159.4900055,160.6100006,13059900
04-03-2021,159.0399933,161.4600067,158.4299927,160.6000061,13870100
05-03-2021,159.1399994,159.8200073,158.5500031,159.6600037,12821600
08-03-2021,157.4900055,158.7400055,157.1300049,158.5800018,12134900
09-03-2021,160.8399963,161.25,160.4199982,160.75,10382600
10-03-2021,161.6600037,161.7799988,160.6600037,161.0599976,7962000
11-03-2021,161.5200043,161.9799957,161.1199951,161.4700012,6749200
12-03-2021,161.4900055,161.6900024,159.3500061,159.5399933,8608500
15-03-2021,162.1999969,162.5500031,161.4299927,162.3099976,8104500
16-03-2021,162.3500061,163.1999969,161.8099976,162.3600006,7547400
17-03-2021,163.5099945,164.1499939,161.4799957,162.2700043,12626700
18-03-2021,162.5599976,162.8200073,161.1100006,161.1499939,8711100
19-03-2021,163.2400055,163.4299927,162.4299927,162.5599976,6868900
22-03-2021,163,163.1300049,162.1600037,162.2700043,5240000
23-03-2021,161.8099976,162.4900055,161.5899963,162.4499969,6048300
24-03-2021,162.3699951,162.8899994,161.9400024,162.2100067,6183700
25-03-2021,161.7799988,163.5800018,161.3200073,163.0599976,8398600
26-03-2021,162.2400055,162.7299957,161.6499939,161.7100067,6153900
29-03-2021,160.3099976,161.5200043,159.8300018,161.4600067,8409300
30-03-2021,157.5700073,158.1999969,157.5500031,157.9400024,8353200
31-03-2021,159.9600067,160.6799927,158.0500031,158.0599976,10623800
01-04-2021,161.9799957,162.1100006,161.2799988,161.5599976,7105200
05-04-2021,161.9199982,162.3999939,161.3600006,161.5200043,6163800
06-04-2021,163.2200012,163.5299988,162.75,162.7899933,6761200
07-04-2021,162.7599945,163.3099976,162.5,162.8200073,5436000
08-04-2021,164.5099945,164.7700043,164.1399994,164.1699982,6574500
09-04-2021,163.2700043,163.6600037,162.4799957,162.75,6657900
12-04-2021,162.2799988,162.8000031,161.8099976,162.7299957,4896700
13-04-2021,163.4299927,163.8500061,163.0299988,163.1799927,6995900
14-04-2021,162.7200012,163.0500031,162.3000031,162.7700043,6312300
15-04-2021,165.3500061,165.7899933,164.0299988,164.0700073,8250600
16-04-2021,166.3500061,166.8099976,165.9400024,166.2400055,10057600
19-04-2021,165.8899994,166.4400024,165.7200012,165.9100037,5721700
20-04-2021,166.4799957,166.8099976,165.6199951,165.6499939,6532000
21-04-2021,168.1300049,168.3899994,167.1499939,167.1799927,8380200
22-04-2021,167.0399933,167.5299988,166.4900055,167.1100006,7680100
23-04-2021,166.3999939,167.5299988,165.7799988,167.3699951,7106400
26-04-2021,166.8399963,166.8699951,166.0500031,166.6300049,4786600
27-04-2021,166.4199982,167.1499939,166.2799988,166.9199982,5363500
28-04-2021,166.9100037,166.9600067,165.4900055,165.75,6932200
29-04-2021,166.2200012,166.2599945,164.4700012,165.5800018,9067600
30-04-2021,165.6600037,166,165.2400055,165.8600006,6248700
03-05-2021,167.8099976,168.4299927,167.4100037,167.6100006,9014700
04-05-2021,166.5800018,168.5500031,165.5,167.6900024,10267400
05-05-2021,167.2700043,167.3099976,166.6100006,166.6300049,5950000
06-05-2021,170.0599976,170.2899933,167.9199982,167.9499969,13574100
07-05-2021,171.5899963,172.5500031,171,171.5299988,14748600
10-05-2021,172.1100006,172.8399963,171.7799988,172.7400055,8276600
11-05-2021,172.1399994,172.1699982,170.2700043,170.5599976,8348200
12-05-2021,170.4299927,171.8399963,170.3500061,171.4299927,12666300
13-05-2021,171.1300049,171.2700043,170.2299957,170.3500061,8078300
14-05-2021,172.6900024,172.6999969,171.8200073,172.0500031,9686800
17-05-2021,174.6999969,175,173.2799988,173.3000031,11956800
18-05-2021,175.0399933,175.2100067,174.4600067,175.1799927,7294000
19-05-2021,175.1600037,177,174.3500061,175.1399994,20741100
20-05-2021,175.9600067,176.4600067,175.1100006,175.3200073,9802800
21-05-2021,176.0399933,176.8600006,175.1499939,176.5800018,7677200
24-05-2021,176.3500061,176.5899963,175.8699951,176.1499939,5557300
25-05-2021,177.9499969,177.9499969,176.0399933,176.1499939,8986900
26-05-2021,177.6399994,178.6100006,177.0399933,178.3699951,8495400
27-05-2021,177.7100067,177.8200073,176.8099976,177.3899994,7993000
28-05-2021,178.3800049,178.4299927,177.2400055,177.4600067,9967000
01-06-2021,177.8999939,178.8500061,177.1900024,178.7599945,9143300
02-06-2021,178.7700043,178.7799988,177.9700012,178.3399963,6613100
03-06-2021,175.2700043,175.8300018,174.6600037,175.8300018,10153900
04-06-2021,177.1600037,177.5700073,176.6100006,176.6499939,8375300
07-06-2021,177.8699951,177.8999939,176.6300049,176.9600067,7709100
08-06-2021,177.3200073,177.5399933,176.3699951,177.2299957,5905800
09-06-2021,176.9799957,177.8000031,176.7799988,177.3800049,6346100
10-06-2021,177.7400055,177.8500061,176.4799957,176.6999969,9896600
11-06-2021,175.7400055,176.5700073,175.4799957,176.3300018,7836900
14-06-2021,174.7100067,175.0599976,172.9499969,173.1600037,7733600
15-06-2021,174.0500031,174.9199982,173.3399963,174.7799988,7550200
16-06-2021,171.1100006,174.4700012,171.0299988,173.9100037,16919700
17-06-2021,165.8500061,167.6199951,165.4400024,167.0200043,27232200
18-06-2021,164.9299927,166.7200012,164.8699951,166.1399994,15744300
21-06-2021,166.9499969,167.2200012,166,166.5200043,8371000
22-06-2021,166.25,166.9199982,166.0099945,166.3500061,7223900
23-06-2021,166.1399994,168.0299988,165.9700012,166.9700012,8474300
24-06-2021,166.0399933,167.2299957,166.0099945,167,6903400
25-06-2021,166.5899963,167.5299988,166.2899933,167.4499969,7473700
28-06-2021,166.5800018,166.9100037,166.3600006,166.6799927,6508900
29-06-2021,164.8300018,165.2799988,164.0099945,164.3399963,7451400
30-06-2021,165.6300049,166.1000061,164.2899933,164.5700073,7955800
01-07-2021,166.1999969,166.8800049,165.5,166.6499939,7430500
02-07-2021,167.2899933,167.7200012,166.3999939,167.3500061,7873600
06-07-2021,168.1199951,169.6499939,167.5399933,169.2700043,7932100
07-07-2021,168.7599945,169.2299957,168.1900024,168.7200012,7108900
08-07-2021,168.6499939,169.8600006,167.9100037,169.8200073,7244300
09-07-2021,169.2100067,169.6199951,168.6600037,168.8399963,4997400
12-07-2021,169,169.1600037,167.6399994,168.6999969,7315400
13-07-2021,169.2200012,169.8999939,168.9299927,169.5099945,7040300
14-07-2021,171.0399933,171.0399933,170.2799988,170.9100037,8830300
15-07-2021,171.0700073,171.3000031,170.3399963,170.8899994,6520100
16-07-2021,169.4100037,170.9499969,169.2799988,170.6499939,9460300
19-07-2021,169.6100006,169.9100037,168.8899994,169.5099945,6707400
20-07-2021,169.3899994,170.8000031,168.9199982,170.5099945,6540100
21-07-2021,168.7599945,169,168.1399994,168.3300018,4622600
22-07-2021,169.0899963,169.1900024,168.0599976,168.4900055,4793600
23-07-2021,168.5599976,168.8800049,167.9499969,168.5,5831500
26-07-2021,168.1600037,168.8600006,168.0800018,168.5800018,5229800
27-07-2021,168.4400024,168.9100037,167.9299927,168.7299957,6300200
28-07-2021,169.2899933,169.3800049,167.7200012,168.2599945,7905800
29-07-2021,171.1699982,171.5200043,170.6699982,170.6999969,8119600
30-07-2021,169.8200073,170.9900055,169.3800049,170.7200012,7391700
02-08-2021,169.6100006,170.25,169.1000061,169.3000031,10783200
03-08-2021,169.4900055,169.8300018,169.2100067,169.4199982,5402300
04-08-2021,169.5299988,171.3999939,168.9900055,171.2799988,9796300
05-08-2021,168.8600006,169.4400024,168.1999969,169.3699951,8015000
