DateTime,Date,Time,Year,Month,Day,Hour,Open,High,Low,Close,Volume,Price_Change,Price_Change_Percent
2024-07-16 00:00:00-04:00,2024-07-16,00:00:00,2024,7,16,0,2433.39990234375,2434.199951171875,2429.89990234375,2433.89990234375,3333,0.2998046875,0.012319390017645482
2024-07-16 01:00:00-04:00,2024-07-16,01:00:00,2024,7,16,1,2433.60009765625,2437.5,2432.800048828125,2436.5,4448,2.60009765625,0.10682845476701619
2024-07-16 02:00:00-04:00,2024-07-16,02:00:00,2024,7,16,2,2436.5,2438.300048828125,2432.39990234375,2438.300048828125,5513,1.800048828125,0.07387846616560001
2024-07-16 03:00:00-04:00,2024-07-16,03:00:00,2024,7,16,3,2438.39990234375,2443.89990234375,2437.39990234375,2441.60009765625,11309,3.300048828125,0.13534219587580942
2024-07-16 04:00:00-04:00,2024-07-16,04:00:00,2024,7,16,4,2441.5,2443.39990234375,2438.199951171875,2441.300048828125,6548,-0.300048828125,-0.012289024251477265
2024-07-16 05:00:00-04:00,2024-07-16,05:00:00,2024,7,16,5,2441.5,2448.10009765625,2439.89990234375,2447.10009765625,9572,5.800048828125,0.2375803347445693
2024-07-16 06:00:00-04:00,2024-07-16,06:00:00,2024,7,16,6,2447.199951171875,2448.199951171875,2444.39990234375,2444.800048828125,5514,-2.300048828125,-0.09399079466867466
2024-07-16 07:00:00-04:00,2024-07-16,07:00:00,2024,7,16,7,2444.800048828125,2447.0,2442.800048828125,2444.300048828125,10323,-0.5,-0.020451570272161934
2024-07-16 08:00:00-04:00,2024-07-16,08:00:00,2024,7,16,8,2444.10009765625,2448.5,2433.800048828125,2437.300048828125,35537,-7.0,-0.28638055313037203
2024-07-16 09:00:00-04:00,2024-07-16,09:00:00,2024,7,16,9,2437.0,2452.60009765625,2435.39990234375,2447.5,29147,10.199951171875,0.4184938648312597
2024-07-16 10:00:00-04:00,2024-07-16,10:00:00,2024,7,16,10,2447.5,2458.800048828125,2445.199951171875,2456.89990234375,27705,9.39990234375,0.3840613827885697
2024-07-16 11:00:00-04:00,2024-07-16,11:00:00,2024,7,16,11,2456.89990234375,2470.199951171875,2456.800048828125,2468.10009765625,32098,11.2001953125,0.4558669769906265
