Date,Close,High,Low,Open,Volume,Adj Close,Daily_Return,MA_20,MA_50,MA_200,Volatility_20,Year,Month,Day_of_Week,Quarter
28-03-2024,205.7200012,206.0500031,203.8699951,204.5399933,9194500,205.7200012,1.290002481,200.2645012,192.6857999,184.2345499,0.769682093,2024,3,3,1
01-04-2024,207.8200073,208.7299957,206.2899933,208.6799927,13677100,207.8200073,1.020807938,201.0110016,193.0948001,184.3709499,0.703885536,2024,4,0,2
02-04-2024,210.8899994,211.0299988,208.3600006,209.0700073,13421100,210.8899994,1.477236049,201.7550018,193.5540002,184.5221999,0.691451683,2024,4,1,2
03-04-2024,212.7400055,212.8300018,210.3000031,210.5700073,11416200,212.7400055,0.877237474,202.532502,194.0644003,184.6763499,0.699034671,2024,4,2,2
04-04-2024,211.5200043,213.4499969,211.0200043,212,12307300,211.5200043,-0.573470522,203.1680023,194.5358005,184.8257999,0.72214261,2024,4,3,2
05-04-2024,215.1399994,215.7400055,212.2200012,212.4900055,13382700,215.1399994,1.711419745,203.9280022,195.1106006,185.0027499,0.78585489,2024,4,4,2
08-04-2024,216.4799957,216.8099976,214.6100006,215.9799957,10331400,216.4799957,0.622848537,204.6705017,195.6974005,185.1876999,0.780329284,2024,4,0,2
09-04-2024,217.6699982,218.8600006,216.4499969,217.8099976,13069900,217.6699982,0.549705499,205.4540016,196.3106006,185.3874998,0.780295063,2024,4,1,2
10-04-2024,215.6100006,217.7799988,214.6799927,215.3699951,13317500,215.6100006,-0.946385619,206.245002,196.8562006,185.5745499,0.766212084,2024,4,2,2
11-04-2024,219.8000031,219.8399963,215.8899994,216.8500061,11415200,219.8000031,1.94332472,207.175502,197.4804007,185.7809999,0.840024873,2024,4,3,2
12-04-2024,216.8899994,225.0899963,216.0200043,221.8699951,30898800,216.8899994,-1.323932494,208.0025017,198.0492007,185.9769999,0.910590052,2024,4,4,2
15-04-2024,220.9499969,221.0299988,215.1600037,217.9400024,13239000,220.9499969,1.871915519,209.0645012,198.6600006,186.1953499,0.950271198,2024,4,0,2
16-04-2024,221.2200012,221.9900055,218.7799988,220.1799927,10746100,221.2200012,0.122201528,210.1240013,199.3122006,186.4159999,0.951047499,2024,4,1,2
17-04-2024,219.5899963,221.7599945,218.5200043,221.0500031,11521100,219.5899963,-0.736825275,211.113501,199.9526004,186.6225999,0.982176248,2024,4,2,2
18-04-2024,220.3399963,221.4600067,219.3099976,221.3099976,6496900,220.3399963,0.341545613,212.0215012,200.5884003,186.8319498,0.967973272,2024,4,3,2
19-04-2024,221.0299988,222.3600006,220.0800018,220.4900055,8689000,221.0299988,0.313153514,212.974501,201.2390002,187.0478999,0.96020537,2024,4,4,2
22-04-2024,215.5700073,216.9600067,215.1399994,216.3500061,13404300,215.5700073,-2.470249055,213.7355011,201.7838004,187.2391999,1.132296559,2024,4,0,2
23-04-2024,215.0399933,215.8600006,213.8699951,213.9600067,10730300,215.0399933,-0.245866317,214.4380005,202.3326001,187.4211999,1.140725023,2024,4,1,2
24-04-2024,214.6399994,216.3500061,214.3600006,214.7599945,5741100,214.6399994,-0.186009072,215.0880005,202.8832001,187.6004999,1.146893891,2024,4,2,2
25-04-2024,215.9199982,217.0500031,214.3399963,214.4700012,6606500,215.9199982,0.596346805,215.7290001,203.5110001,187.7828499,1.144874352,2024,4,3,2
26-04-2024,216.6199951,217.0700073,215.5299988,216.7700043,6268500,216.6199951,0.324192735,216.2739998,204.155,187.9565498,1.12161721,2024,4,4,2
